sport,category_id,activity_id,manufacturer_id,manufacturer_name,seller_id,seller_name,brand_name,bar_code_13,internal_ref_id,manufacturer_product_id,product_name,description,Unitweight,specialty_id,size_id,ussize_id,width_id,wheel_size_id,head_tube_id,brakes_id,taxle_id,rake_id,width_oo_id,seat_post_diameter_id,bar_bore_diameter_id,design_id,color_id,color_#,material,MaterialDesc,Gender,SpecialTechnology,picture,notes,seller_min_qty, remaining ,release,bottom_braket,cost_price,x_factor,retail_price_net,retail_price_vat,Record,descriptive_name,finish,VAT,currency
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102535,,MAX ,"Road cycling shoes that maintain high range characteristics and materials.
ATOP rotary closure system combined with a Velcro strap.
Microfiber fabric.   Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, WHITE ,302,Carbon,," M, W ",,,,,,,,29.24,2.21,64.75,79.00,,,,22%,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102536,, MAX ,"Road cycling shoes that maintain high range characteristics and materials.
ATOP rotary closure system combined with a Velcro strap.
Microfiber fabric.   Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, BLACK ,301,Carbon,," M, W ",,,,,,,,29.24,2.21,64.75,79.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102537,, MAX ,"Road cycling shoes that maintain high range characteristics and materials.
ATOP rotary closure system combined with a Velcro strap.
Microfiber fabric.   Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, YELLOW ,316,Carbon,," M, W ",,,,,,,,29.24,2.21,64.75,79.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102538,, MAX ,"Road cycling shoes that maintain high range characteristics and materials.
ATOP rotary closure system combined with a Velcro strap.
Microfiber fabric.   Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, ORANGE ,317,Carbon,," M, W ",,,,,,,,29.24,2.21,64.75,79.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102539,, TOP ,Microfiber of excellent quality and thickness.,,,,,Regular,,,,,,,,,, WHITE ,1902,Carbon,," M, W ",,,,,,,,36.72,2.21,81.15,99.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102540,, TOP ,"Microfiber of excellent quality and thickness.
Improved double velcro closure system in combination with a millimeter caliper closure device. Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, BLACK ,1901,Carbon,," M, W ",,,,,,,,36.72,2.21,81.15,99.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102541,, TOP ,"Microfiber of excellent quality and thickness.
Improved double velcro closure system in combination with a millimeter caliper closure device. Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, YELLOW ,1904,Carbon,," M, W ",,,,,,,,36.72,2.21,81.15,99.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102542,, TOP ,"Microfiber of excellent quality and thickness.
Improved double velcro closure system in combination with a millimeter caliper closure device. Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, ORANGE ,1903,Carbon,," M, W ",,,,,,,,36.72,2.21,81.15,99.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102543,, TOP ,"Microfiber of excellent quality and thickness.
Improved double velcro closure system in combination with a millimeter caliper closure device. Carbon Fiber Sole.",,,,,Regular,,,,,,,,,, FUXIA ,1905,Carbon,," M, W ",,,,,,,,36.72,2.21,81.15,99.00,,,,,EUR
Cycling,Shoes,Road,1001000,"Luck Cycling Shoes, SL",1001000,"Luck Cycling Shoes, SL",Luck,1001000101000,102544,, PLUS ,Microfiber of excellent quality and thickness. ATOP rotary closure system combined with a milimetric caliper closure system. ON STEAM® coating 100% breathable. ON STEAM® coating incorporates an innovated silver ions treatment with antibacterial and antistatic properties.,,,,,Regular,,,,,,,,,, WHITE ,502,Carbon,," M, W ",,,,,,,,48.96,2.16,105.74,129.00,,,,,EUR
